,descals_file,fireid,UniqueID
59,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16176,90729
60,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15541,90968
61,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15231,91363
62,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,18631,101842
63,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,14377,103867
64,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-33_v2-4.tif,13864,104093
65,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,13996,104146
66,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,13905,104393
67,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,13720,104517
68,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12943,104608
69,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12868,104635
70,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12878,104638
71,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12890,104641
72,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,12891,104642
73,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,12901,104644
74,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,21286,112694
75,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,20922,113158
76,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,21916,113162
77,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,21874,113181
78,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,21191,113417
79,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,21289,113778
80,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,21492,113934
81,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,20803,113953
82,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,20849,113989
83,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,19031,114741
84,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,19032,114787
85,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,19116,114791
86,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,18977,114824
87,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18637,115000
88,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18639,115001
89,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18642,115002
90,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,18536,115044
91,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18640,115049
92,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18641,115050
